feature,importance_mean,importance_std
pin_to_pin_min,0.17557251908396942,0.010795523376893873
convex_hull_area,0.06259541984732823,0.013133321018385713
free_channel_width_max,0.010687022900763376,0.0037396789966155455
comp_density_q1,0.009160305343511466,0.008902216633351619
comp_density_q3,0.007633587786259555,0.0068276884809154
comp_density_q4,0.006106870229007644,0.0057124540256090805
bbox_aspect_ratio,0.004580152671755733,0.006106870229007644
steiner_signal_length,0.001526717557251911,0.0030534351145038215
pin_density_pkg2,0.0,0.0
pin_density_pkg3,0.0,0.0
comp_to_edge_min,0.0,0.0
comp_density_q2,0.0,0.004827904824684557
decoupling_proximity_median,0.0,0.0
dense_package_count,0.0,0.0
analog_inter_comp_mean,0.0,0.0
digital_inter_comp_mean,0.0,0.0
wasted_space_ratio,0.0,0.0
pour_pad_coverage,0.0,0.0
isolated_pad_count,0.0,0.0
pin_density_pkg1,-0.001526717557251911,0.0030534351145038215
